timestamp_utc,run_id,epoch,seed,rows_ingested,emulator_rows,padding_rows,backend,query_shape,es_large_compression,cache_mode,repeat_count,mean_elapsed_ms,median_elapsed_ms,p90_elapsed_ms,p100_elapsed_ms,min_elapsed_ms,max_elapsed_ms,std_elapsed_ms,mean_es_took_ms,median_es_took_ms,json_path
2026-05-27T21:54:30.043946+00:00,1,3,1001,1000000,0,1000000,es_default,all_quantile,1000,es_cache_disabled,10,1427.8028,1428.1577,1430.3123,1431.2292,1425.0997,1431.2292,1.9931,43.2833,43.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.044001+00:00,1,3,1001,1000000,0,1000000,es_large,all_quantile,1000,es_cache_disabled,10,1973.7522,1973.0060,1976.2819,1982.2355,1968.9245,1982.2355,3.5256,61.2533,61.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.044055+00:00,1,3,1001,1000000,0,1000000,server,sum,1000,na,10,3.1255,2.9109,3.1964,5.0258,2.8378,5.0258,0.6691,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.044105+00:00,1,3,1001,1000000,0,1000000,es_default,sum,1000,es_cache_disabled,10,379.5185,379.2158,380.3768,382.5208,378.2613,382.5208,1.1947,8.4367,8.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.044157+00:00,1,3,1001,1000000,0,1000000,es_large,sum,1000,es_cache_disabled,10,379.0525,379.0607,380.0488,380.8173,377.4154,380.8173,1.0090,8.4267,8.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.044208+00:00,1,3,1001,1000000,0,1000000,server,all_in,1000,na,10,3.9436,3.7374,4.3000,5.7054,3.6134,5.7054,0.6373,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.044261+00:00,1,3,1001,1000000,0,1000000,es_default,all_in,1000,es_cache_disabled,10,1647.8088,1648.0938,1650.4291,1653.5260,1642.0010,1653.5260,3.2541,50.5767,50.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.044317+00:00,1,3,1001,1000000,0,1000000,es_large,all_in,1000,es_cache_disabled,10,2176.7508,2187.8358,2194.0459,2198.4823,2092.7183,2198.4823,32.0131,67.9167,68.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:58:02.318051+00:00,1,4,1001,1000000,0,1000000,server,p50,1000,na,10,3.1586,2.9449,3.3175,5.1744,2.7324,5.1744,0.7167,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318359+00:00,1,4,1001,1000000,0,1000000,es_default,p50,1000,es_cache_disabled,10,756.5506,753.6067,761.6974,784.7501,747.5768,784.7501,10.4850,21.0667,21.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318432+00:00,1,4,1001,1000000,0,1000000,es_large,p50,1000,es_cache_disabled,10,1574.9094,1574.2444,1577.6245,1581.3362,1570.6126,1581.3362,3.2813,48.0200,48.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318494+00:00,1,4,1001,1000000,0,1000000,server,p90,1000,na,10,3.3892,3.1687,3.4665,5.3754,3.1009,5.3754,0.6994,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318549+00:00,1,4,1001,1000000,0,1000000,es_default,p90,1000,es_cache_disabled,10,753.8609,754.5344,757.6470,758.0796,748.0780,758.0796,3.6043,20.8967,20.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318603+00:00,1,4,1001,1000000,0,1000000,es_large,p90,1000,es_cache_disabled,10,1584.3263,1583.8646,1588.8567,1591.1625,1578.1659,1591.1625,4.2010,48.3633,48.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318654+00:00,1,4,1001,1000000,0,1000000,server,p100,1000,na,10,3.4480,3.2220,3.7421,5.3739,3.0717,5.3739,0.6896,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
