group,epoch,node,agg_name,time_ns,build_ns,collect_ns,post_ns,reduce_ns
all,2,N026,mem_pct,17998126,69322,17907537,92,0
all,2,N026,net_pct,12316321,34396,12260690,91,0
all,2,N026,cpu_sum,4352002,1201,4326621,170,0
all,2,N026,mem_sum,4369752,372,4358263,81,0
all,2,N026,net_sum,4331036,234,4309350,71,0
all,2,N027,cpu_pct,10813628,60182,10713972,703,0
all,2,N027,mem_pct,5846651,19116,5803637,120,0
all,2,N027,net_pct,9971714,58211,9891866,67,0
all,2,N027,cpu_sum,3561928,1251,3541845,123,0
all,2,N027,mem_sum,3574492,320,3547599,72,0
all,2,N027,net_sum,3554819,183,3536741,73,0
all,2,N028,cpu_pct,20336045,68533,20215325,1058,0
all,2,N028,mem_pct,9112949,86900,8995338,83,0
all,2,N028,net_pct,13527971,17319,13483689,85,0
all,2,N028,cpu_sum,4329164,1403,4308741,165,0
all,2,N028,mem_sum,4338631,477,4324669,103,0
all,2,N028,net_sum,4352904,270,4325520,81,0
all,2,N029,cpu_pct,25766704,59705,25655075,1015,0
all,2,N029,mem_pct,6140620,52215,6058189,83,0
all,2,N029,net_pct,16634884,26837,16582131,92,0
all,2,N029,cpu_sum,4334726,1322,4315978,149,0
all,2,N029,mem_sum,4324481,348,4311648,82,0
all,2,N029,net_sum,4289821,330,4270756,81,0
all,2,N030,cpu_pct,17975023,97702,17832269,954,0
all,2,N030,mem_pct,9386613,86522,9274017,94,0
all,2,N030,net_pct,5887566,44622,5822202,90,0
all,2,N030,cpu_sum,4319445,1416,4298953,178,0
all,2,N030,mem_sum,4295850,308,4279718,98,0
all,2,N030,net_sum,4258592,260,4242413,92,0
single,2,N001,cpu_pct,8445779,52243,8349937,737,0
single,2,N001,mem_pct,7679310,20119,7638334,74,0
single,2,N001,net_pct,24516930,55674,24437780,71,0
single,2,N001,cpu_sum,3593816,1380,3580558,142,0
single,2,N001,mem_sum,3709546,2217,3687569,71,0
single,2,N001,net_sum,3557862,226,3543185,72,0
all,3,N001,cpu_pct,19480452,64771,19334659,1238,0
all,3,N001,mem_pct,9195009,49305,9094962,90,0
all,3,N001,net_pct,15186707,75959,15080925,82,0
all,3,N001,cpu_sum,4171073,2460,4134138,306,0
all,3,N001,mem_sum,4125122,269,4104387,80,0
all,3,N001,net_sum,4116861,238,4085374,51,0
all,3,N002,cpu_pct,10550292,32800,10457940,955,0
all,3,N002,mem_pct,22691951,86719,22577520,89,0
all,3,N002,net_pct,20570676,35960,20502831,93,0
all,3,N002,cpu_sum,4134848,1824,4115268,316,0
all,3,N002,mem_sum,4109826,269,4092898,80,0
all,3,N002,net_sum,4096915,211,4069542,58,0
all,3,N003,cpu_pct,4461567,23300,4393639,726,0
all,3,N003,mem_pct,4951342,30940,4892162,92,0
all,3,N003,net_pct,8795352,58355,8698261,68,0
all,3,N003,cpu_sum,2574444,1203,2553020,143,0
all,3,N003,mem_sum,2581420,326,2545468,68,0
all,3,N003,net_sum,2570546,187,2535787,70,0
all,3,N004,cpu_pct,17248757,86002,17107703,808,0
all,3,N004,mem_pct,26294451,45344,26223985,102,0
all,3,N004,net_pct,13299262,62590,13213796,86,0
all,3,N004,cpu_sum,4261747,1712,4241800,246,0
all,3,N004,mem_sum,4267593,428,4243786,88,0
all,3,N004,net_sum,4310835,362,4292360,84,0
all,3,N005,cpu_pct,13394942,42968,13302585,912,0
all,3,N005,mem_pct,10877865,52465,10800196,94,0
all,3,N005,net_pct,22813406,24832,22767873,77,0
all,3,N005,cpu_sum,3863966,1595,3838872,190,0
all,3,N005,mem_sum,3860207,197,3841223,86,0
all,3,N005,net_sum,3834768,226,3822784,62,0
all,3,N006,cpu_pct,14201193,38913,14107087,980,0
all,3,N006,mem_pct,14790281,29826,14735362,83,0
all,3,N006,net_pct,10309514,82615,10204887,80,0
all,3,N006,cpu_sum,4211131,1661,4189401,177,0
all,3,N006,mem_sum,4245708,295,4226604,58,0
all,3,N006,net_sum,4212402,217,4193457,83,0
all,3,N007,cpu_pct,26970377,51903,26865383,922,0
all,3,N007,mem_pct,16910258,30518,16860144,81,0
all,3,N007,net_pct,13385116,73089,13282066,83,0
all,3,N007,cpu_sum,4388478,1400,4368502,463,0
all,3,N007,mem_sum,4305389,354,4287737,91,0
all,3,N007,net_sum,4295554,229,4268862,83,0
all,3,N008,cpu_pct,26564409,70568,26437729,807,0
all,3,N008,mem_pct,14999855,66694,14903674,82,0
all,3,N008,net_pct,9831756,38972,9769027,84,0
all,3,N008,cpu_sum,4306850,1458,4286959,223,0
all,3,N008,mem_sum,4305017,349,4280563,83,0
all,3,N008,net_sum,4278592,214,4261956,84,0
all,3,N009,cpu_pct,6649634,29025,6573044,750,0
all,3,N009,mem_pct,9390518,46616,9325918,75,0
all,3,N009,net_pct,18710961,42409,18641528,78,0
all,3,N009,cpu_sum,3530594,1353,3509991,156,0
all,3,N009,mem_sum,3582896,249,3569326,73,0
all,3,N009,net_sum,3547065,410,3527027,52,0
all,3,N010,cpu_pct,15539659,27540,15457360,799,0
all,3,N010,mem_pct,23022085,20740,22983698,115,0
all,3,N010,net_pct,12661367,38222,12598842,86,0
all,3,N010,cpu_sum,4300646,1338,4279346,151,0
all,3,N010,mem_sum,4293912,308,4279291,94,0
all,3,N010,net_sum,4302225,288,4280927,85,0
all,3,N011,cpu_pct,12499735,54576,12402386,939,0
all,3,N011,mem_pct,21245172,72154,21145118,88,0
all,3,N011,net_pct,14222011,83994,14111789,86,0
all,3,N011,cpu_sum,4485843,1752,4467715,190,0
all,3,N011,mem_sum,4261789,346,4241990,109,0
all,3,N011,net_sum,4305577,237,4284955,90,0
all,3,N012,cpu_pct,18905665,70752,18779193,647,0
all,3,N012,mem_pct,18362665,36991,18301046,105,0
all,3,N012,net_pct,10778056,44342,10708993,85,0
all,3,N012,cpu_sum,4277387,1065,4256338,141,0
all,3,N012,mem_sum,4294780,305,4277661,104,0
all,3,N012,net_sum,4387435,197,4371009,80,0
all,3,N013,cpu_pct,15537443,29153,15460078,809,0
all,3,N013,mem_pct,15962890,40394,15899831,100,0
all,3,N013,net_pct,10947957,30482,10895207,85,0
all,3,N013,cpu_sum,4275930,1759,4251931,277,0
all,3,N013,mem_sum,4426401,266,4403058,100,0
all,3,N013,net_sum,4267115,231,4249666,93,0
all,3,N014,cpu_pct,19374097,59840,19270330,830,0
all,3,N014,mem_pct,14112663,61882,14030525,92,0
all,3,N014,net_pct,10759727,57774,10655973,63,0
all,3,N014,cpu_sum,4262600,1458,4238153,174,0
all,3,N014,mem_sum,4264087,244,4236843,90,0
all,3,N014,net_sum,4274001,234,4258562,63,0
all,3,N015,cpu_pct,9270263,78983,9119891,1004,0
