timestamp_utc,run,epoch,rows,usage_quantile,arrivals,sketch_ingest_ms,es_ingest_ms,sketch_query_ms,es_query_ms,sketch_solver_ms,es_solver_ms,sketch_solver_status,es_solver_status,sketch_assigned,es_assigned,sketch_pending_before,es_pending_before,sketch_running,es_running,sketch_completed,es_completed,sketch_dropped,es_dropped,sketch_objective,es_objective,cpu_q_max_abs_err,cpu_q_max_rel_err_pct,mem_q_max_abs_err,solver_backend
2026-09-06T07:28:27.619026+00:00,7,3,996800,50.0,64,3094.699,31679.622,5.425,1083.889,144.047,918.553,OPTIMAL,OPTIMAL,67,67,67,67,137,137,109,109,0,0,67.000000,67.000000,0.10667411,25.934887,0.00624870,SCIP
2026-09-06T07:29:07.846858+00:00,7,4,996800,50.0,56,3211.897,29841.002,5.582,592.884,132.658,154.737,OPTIMAL,OPTIMAL,56,56,56,56,131,131,171,171,0,0,56.000000,56.000000,0.21294873,40.468259,0.00750900,SCIP
2026-09-06T07:30:54.094706+00:00,7,5,996800,50.0,69,3234.623,29526.948,6.397,704.485,6276.180,60070.432,OPTIMAL,FEASIBLE,68,67,69,69,139,138,231,231,0,0,68.000000,67.000000,0.20521474,43.615841,0.00605091,SCIP
2026-09-06T07:31:47.056865+00:00,7,6,996800,50.0,67,3071.402,32786.665,5.566,1072.305,6092.065,3847.573,OPTIMAL,OPTIMAL,68,69,68,69,149,149,289,289,0,0,68.000000,69.000000,0.12178440,28.236103,0.00352879,SCIP
2026-09-06T07:32:50.844323+00:00,7,7,996800,50.0,69,3079.164,30211.787,5.579,988.450,19669.136,3534.692,OPTIMAL,OPTIMAL,65,63,69,69,147,145,356,356,0,0,65.000000,63.000000,0.17074217,38.759060,0.00730637,SCIP
2026-09-06T07:33:32.911514+00:00,7,8,996800,50.0,52,2937.340,30216.698,5.303,869.539,1234.608,765.707,OPTIMAL,OPTIMAL,56,58,56,58,134,135,425,424,0,0,56.000000,58.000000,0.24131763,44.710505,0.00902887,SCIP
2026-09-06T07:34:12.806402+00:00,7,9,996800,50.0,46,3085.812,29299.648,5.718,1035.593,119.020,69.899,OPTIMAL,OPTIMAL,46,46,46,46,114,116,491,489,0,0,46.000000,46.000000,0.21789404,41.863007,0.00485639,SCIP
2026-09-06T07:34:53.707721+00:00,8,0,996800,50.0,66,3221.295,29331.902,6.825,535.768,316.126,380.087,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.21246360,40.988633,0.00382071,SCIP
2026-09-06T07:35:33.943749+00:00,8,1,996800,50.0,61,3215.042,29853.983,6.045,573.179,145.608,106.882,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.21491256,42.489791,0.00679829,SCIP
2026-09-06T07:37:16.889255+00:00,8,2,996800,50.0,55,3211.181,29584.420,5.921,739.953,3053.865,60071.072,OPTIMAL,FEASIBLE,52,53,55,55,132,133,47,47,0,0,52.000000,53.000000,0.20814064,40.270478,0.00479484,SCIP
2026-09-06T07:38:00.340843+00:00,8,3,996800,50.0,64,3203.037,31613.341,5.247,1084.809,807.341,527.619,OPTIMAL,OPTIMAL,67,66,67,66,137,137,109,109,0,0,67.000000,66.000000,0.16146403,39.580756,0.00523040,SCIP
2026-09-06T07:38:40.415589+00:00,8,4,996800,50.0,56,3178.049,29694.578,5.122,629.863,129.754,196.057,OPTIMAL,OPTIMAL,56,56,56,56,131,130,171,172,0,0,56.000000,56.000000,0.17950015,36.627888,0.00746476,SCIP
2026-09-06T07:40:29.234087+00:00,8,5,996800,50.0,69,3230.200,28412.472,6.076,714.077,9921.329,60060.328,OPTIMAL,FEASIBLE,67,67,69,69,138,138,231,231,0,0,67.000000,67.000000,0.18151499,38.157219,0.00746647,SCIP
2026-09-06T07:42:17.848305+00:00,8,6,996800,50.0,67,3032.137,32097.325,5.829,1089.382,60098.515,6151.663,FEASIBLE,OPTIMAL,68,69,69,69,148,149,289,289,0,0,68.000000,69.000000,0.16943474,37.991238,0.00550597,SCIP
2026-09-06T07:44:19.888875+00:00,8,7,996800,50.0,69,3003.219,31461.931,5.457,1073.992,60096.344,20376.969,FEASIBLE,OPTIMAL,65,65,70,69,147,147,355,356,0,0,65.000000,65.000000,0.13844110,33.494659,0.00418697,SCIP
2026-09-06T07:45:12.276877+00:00,8,8,996800,50.0,52,2899.879,32872.550,5.434,1086.698,5887.494,3527.985,OPTIMAL,OPTIMAL,57,56,57,56,135,135,424,424,0,0,57.000000,56.000000,0.14737586,34.403722,0.00666841,SCIP
2026-09-06T07:45:52.597060+00:00,8,9,996800,50.0,46,3126.033,29658.231,5.262,1121.644,111.950,72.475,OPTIMAL,OPTIMAL,46,46,46,46,115,114,490,491,0,0,46.000000,46.000000,0.18387232,37.176767,0.00735271,SCIP
2026-09-06T07:46:33.230010+00:00,9,0,996800,50.0,66,3211.119,29364.545,6.733,511.042,272.101,239.292,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.19814580,39.334326,0.00330739,SCIP
2026-09-06T07:47:12.572493+00:00,9,1,996800,50.0,61,3128.055,29162.859,6.081,585.648,146.717,115.487,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.18820493,37.443141,0.01074842,SCIP
2026-09-06T07:47:56.169557+00:00,9,2,996800,50.0,55,3209.863,30232.552,5.701,733.897,2116.840,940.470,OPTIMAL,OPTIMAL,52,52,55,55,132,132,47,47,0,0,52.000000,52.000000,0.23701915,43.198448,0.00600700,SCIP
2026-09-06T07:48:38.976411+00:00,9,3,996800,50.0,64,3230.823,30234.798,5.185,738.435,554.271,1737.069,OPTIMAL,OPTIMAL,67,67,67,67,137,137,109,109,0,0,67.000000,67.000000,0.23234649,42.763853,0.00756496,SCIP
2026-09-06T07:49:19.643809+00:00,9,4,996800,50.0,56,3268.845,29834.624,5.871,718.773,138.873,338.104,OPTIMAL,OPTIMAL,56,56,56,56,131,131,171,171,0,0,56.000000,56.000000,0.17179414,38.883451,0.00472180,SCIP
2026-09-06T07:51:12.455926+00:00,9,5,996800,50.0,69,3209.807,29140.624,6.139,881.816,13163.257,60051.058,OPTIMAL,FEASIBLE,67,68,69,69,138,139,231,231,0,0,67.000000,68.000000,0.15375252,33.091566,0.00497889,SCIP
2026-09-06T07:52:56.501177+00:00,9,6,996800,50.0,67,3160.245,32080.588,5.130,1074.573,60095.594,1501.317,FEASIBLE,OPTIMAL,68,68,69,68,149,149,288,289,0,0,68.000000,68.000000,0.15447127,33.521753,0.00672512,SCIP
2026-09-06T07:54:43.579376+00:00,9,7,996800,50.0,69,3141.562,31957.222,5.350,1056.076,60126.541,4561.533,FEASIBLE,OPTIMAL,66,64,70,69,147,146,356,356,0,0,66.000000,64.000000,0.16131180,35.495857,0.00547795,SCIP
2026-09-06T07:55:27.375303+00:00,9,8,996800,50.0,52,3073.211,31595.927,6.006,1086.077,551.755,1407.789,OPTIMAL,OPTIMAL,56,57,56,57,134,134,425,425,0,0,56.000000,57.000000,0.16773118,40.674510,0.00307147,SCIP
2026-09-06T07:56:06.961693+00:00,9,9,996800,50.0,46,3108.321,29049.691,5.170,940.997,112.329,69.660,OPTIMAL,OPTIMAL,46,46,46,46,114,115,491,490,0,0,46.000000,46.000000,0.18889004,38.124708,0.00661117,SCIP
