request_id,request_type,status,total_ms,estimate_ms,json_ms
02dbf8bc,node_metrics,200 OK,195.906,94.554,1.593
02e00c11,node_metrics,200 OK,259.926,125.842,2.326
b19b22ef,node_metrics,200 OK,203.339,98.136,1.606
a4e3fd9f,node_metrics,200 OK,261.461,125.670,2.360
3f315b74,node_metrics,200 OK,202.062,97.472,1.551
70f74e89,node_metrics,200 OK,260.772,126.261,2.362
79afc276,node_metrics,200 OK,201.762,97.234,1.591
b099e838,node_metrics,200 OK,261.138,126.199,2.362
bb1fae14,node_metrics,200 OK,182.157,88.347,1.542
22b59ee8,node_metrics,200 OK,259.928,125.601,2.357
6b010558,node_metrics,200 OK,203.722,98.541,1.580
da29d049,node_metrics,200 OK,262.201,126.068,2.341
89ce9f30,node_metrics,200 OK,192.015,93.009,1.585
a4dcc6a9,node_metrics,200 OK,260.765,125.899,2.406
23306f0d,node_metrics,200 OK,157.803,75.949,1.101
055217b8,node_metrics,200 OK,260.221,125.695,2.390
bab4bb93,node_metrics,200 OK,204.652,99.134,1.580
c5049483,node_metrics,200 OK,260.178,125.658,2.405
c5d2ae8b,node_metrics,200 OK,202.429,97.395,1.576
03c3cefb,node_metrics,200 OK,263.998,127.717,2.386
1b7d68d4,node_metrics,200 OK,202.026,97.697,1.561
257f1e8e,node_metrics,200 OK,260.005,126.302,2.344
2093acd8,node_metrics,200 OK,202.680,97.788,1.559
01f75db3,node_metrics,200 OK,261.923,126.595,2.340
f25ba118,node_metrics,200 OK,200.755,96.923,1.556
4fc0cafb,node_metrics,200 OK,261.343,126.297,2.389
031247d0,node_metrics,200 OK,202.433,97.783,1.556
52bfd221,node_metrics,200 OK,206.164,98.569,2.367
e7298479,node_metrics,200 OK,155.227,72.850,1.096
7c36a826,node_metrics,200 OK,260.650,126.317,2.325
ecbf3b2c,node_metrics,200 OK,162.054,77.458,1.666
8a4f6adf,node_metrics,200 OK,259.568,125.656,2.385
dc72f44b,node_metrics,200 OK,188.361,90.678,1.563
753d04a5,node_metrics,200 OK,260.017,125.844,2.344
e5c626b8,node_metrics,200 OK,200.808,97.187,1.585
0f5d7ca8,node_metrics,200 OK,261.362,126.276,2.381
ba882f96,node_metrics,200 OK,148.328,71.327,1.061
467d7ef5,node_metrics,200 OK,262.336,127.007,2.403
a202be98,node_metrics,200 OK,162.147,77.351,1.654
85a72195,node_metrics,200 OK,261.521,126.353,2.360
ba88f916,node_metrics,200 OK,203.343,97.763,1.600
8749a69c,node_metrics,200 OK,261.781,126.339,2.532
850529f5,node_metrics,200 OK,260.583,126.389,2.382
35d125c3,node_metrics,200 OK,204.992,98.772,2.384
b23d7008,node_metrics,200 OK,259.290,125.521,2.461
ce492686,node_metrics,200 OK,201.037,97.402,1.580
e6b2be36,node_metrics,200 OK,161.414,77.164,1.641
4e31b823,node_metrics,200 OK,203.193,97.927,1.622
0782d2fa,node_metrics,200 OK,255.962,124.353,2.398
151a3ddb,node_metrics,200 OK,205.270,98.280,2.329
72b57f4e,node_metrics,200 OK,205.854,98.533,2.361
f7876aba,node_metrics,200 OK,259.435,125.964,2.354
078440ac,node_metrics,200 OK,260.312,126.267,2.373
40fc89cd,node_metrics,200 OK,259.143,125.681,2.362
a2ebb5fe,node_metrics,200 OK,261.490,126.010,2.355
b1fabd77,node_metrics,200 OK,259.388,125.472,2.371
2a4d0fc6,node_metrics,200 OK,203.701,97.553,2.185
